,AAPL,TSLA,MSFT,VZ,AMZN,BA,MS,DB,JPM,META,INTC,GS,HPE,TCS,WMT,T,TGT,WFC,V
2010-01-04,7.643214225769043,1.5926669836044312,30.950000762939453,31.21294593811035,6.695000171661377,56.18000030517578,30.90999984741211,69.8759536743164,42.84999847412109,38.22999954223633,20.8799991607666,173.0800018310547,9.618976593017578,36.20000076293945,54.22999954223633,21.58610343933105,48.54999923706055,27.31999969482422,22.03499984741211
2010-01-05,7.656428813934326,1.5926669836044312,30.959999084472656,31.26921844482422,6.734499931335449,58.02000045776367,32.040000915527344,71.21183013916016,43.68000030517578,38.22999954223633,20.8700008392334,176.13999938964844,9.618976593017578,36.20000076293945,53.68999862670898,21.480363845825195,48.72999954223633,28.06999969482422,21.78249931335449
2010-01-06,7.534643173217773,1.5926669836044312,30.770000457763672,29.93741607666016,6.612500190734863,59.77999877929688,32.45000076293945,69.98091888427734,43.91999816894531,38.22999954223633,20.799999237060547,174.25999450683594,9.618976593017578,36.20000076293945,53.56999969482422,20.85347366333008,49.65999984741211,28.11000061035156,21.489999771118164
2010-01-07,7.520713806152344,1.5926669836044312,30.450000762939453,29.759218215942383,6.5,62.20000076293945,32.91999816894531,70.77290344238281,44.790000915527344,38.22999954223633,20.600000381469727,177.6699981689453,9.618976593017578,36.20000076293945,53.59999847412109,20.619335174560547,50.27000045776367,29.1299991607666,21.690000534057617
2010-01-08,7.570713996887207,1.5926669836044312,30.65999984741211,29.77797508239746,6.676000118255615,61.59999847412109,32.25,73.33015441894531,44.68000030517578,38.22999954223633,20.82999992370605,174.30999755859375,9.618976593017578,36.20000076293945,53.33000183105469,20.46827888488769,50.06999969482422,28.86000061035156,21.75
2010-01-11,7.503929138183594,1.5926669836044312,30.270000457763672,29.899900436401367,6.515500068664551,60.869998931884766,32.040000915527344,72.91984558105469,44.52999877929688,38.22999954223633,20.950000762939453,171.55999755859375,9.618976593017578,36.20000076293945,54.209999084472656,20.37009048461914,50.18000030517578,28.799999237060547,21.6875
2010-01-12,7.41857099533081,1.5926669836044312,30.06999969482422,29.928037643432617,6.367499828338623,60.43000030517578,31.1299991607666,70.70610809326172,43.4900016784668,38.22999954223633,20.61000061035156,167.82000732421875,9.618976593017578,36.20000076293945,54.72999954223633,20.362537384033203,49.34000015258789,28.07999992370605,21.584999084472656
2010-01-13,7.523213863372803,1.5926669836044312,30.350000381469727,29.890522003173828,6.45550012588501,61.15999984741211,31.26000022888184,70.32442474365234,44.25,38.22999954223633,20.959999084472656,169.07000732421875,9.618976593017578,36.20000076293945,55.0099983215332,20.12084579467773,49.34000015258789,28.57999992370605,21.78499984741211
2010-01-14,7.479642868041992,1.5926669836044312,30.959999084472656,29.280895233154297,6.367499828338623,61.560001373291016,31.200000762939453,69.9427490234375,44.68999862670898,38.22999954223633,21.479999542236328,168.52999877929688,9.618976593017578,36.20000076293945,54.209999084472656,19.780967712402344,50.09999847412109,28.989999771118164,21.86000061035156
2010-01-15,7.354642868041992,1.5926669836044312,30.86000061035156,28.680646896362305,6.35699987411499,60.81999969482422,30.3799991607666,66.53626251220703,43.68000030517578,38.22999954223633,20.799999237060547,165.2100067138672,9.618976593017578,36.20000076293945,53.68000030517578,19.47885131835937,50.16999816894531,28.07999992370605,21.53499984741211
